f_id,f_ori_name,sci_name,edible_portion,alcohol (etanol),"energía, total","grasa, total (lipidos totales)","proteina, total",agua (humedad),carbohidratos,"fibra, dietetica total",ácido graso 22:6 n-3 (ácido docosahexaenóico),ácido graso 20:5 (ácido eicosapentaenóico),ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,"ácidos grasos, trans totales",colesterol,Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc)
2312,Besugo,Pagellus bogaraveo,0.550000,0,374.64,1.8,18.12,80.1,0,0,0.181,0.073,NA,NA,NA,NA,NA,0.001,0.001,0.021,0.6,0.301,0.4,NA,56.5,9,0.19,1.48,10.41,2.89,0.06,0.06,2.91,0.05,0,40.72,0.8,310,25.21,20,210,7.07,45,0.44
2313,Bogavante,Homarus gammarus,0.380000,0,385.1,2,18.3,79.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0.74,0.24,NA,150,TR,TR,0.4,17,5.3,0.11,0.12,1,0.06,TR,60,0.7,220,34,270,261,37,63.6,2.3
2314,Bonito en aceite vegetal,,1.000000,0,831.375,11.5,23.875,64.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,5.4,1.8,NA,46.7,NA,23.8,7.2,15.5,13.5,0.11,0.05,5,0.42,TR,28.5,1,333,29,396,BL,37,60.1,1.1
2315,"Ternera, parte sin especificar, cruda, con grasa separable",,1.000000,0,1060.9,21,16.7,62.3,0,0,0.018,0.007,0.0018,0.07,0.66,0.35,0.9,0.08,0.02,0.025,9.33,1.25,8.51,0.186,65,TR,TR,0.19,10,7.2,0.2,0.05,1,0.25,0,7,1.9,350,17,61,200,3,3,3.3
2316,Boquerón,Engraulis encrasicolus,0.700000,0,532.3,6.3,17.6,76.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,2.18,1.65,NA,69,47,8,0.02,8.7,8.3,0.3,0.06,1.9,1.1,TR,30,1,331,29,116,182,45,36.5,0.5
2317,Tocino,,1.000000,0,2769.8,71,8.4,20.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.86,10.86,29.38,NA,57,TR,TR,0.03,TR,1.3,0.02,0.1,TR,0.37,0,6,0.7,75,5,560,177,11,1,0.4
2318,"Boquerón, frito",,1.000000,0,572.03,6,20.09,72.9,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,2.3,2.3,NA,69,28.71,6.3,0.02,4.57,6.84,0.21,0.05,1.66,0.01,0,26.79,0.93,331,26.6,104,182,18.5,0,0.43
2319,"Caballa, cruda",Scomber scombrus,1.000000,0,757.86,11.9,18.68,69.4,0,0,0.796,0.267,NA,0.102,0.616,0.355,0.705,0.07,0.037,0.067,2.363,2.47,3.449,NA,76,45,4,1.3,1.2,12.47,0.36,0.13,9,0.63,0,12,1.2,386,30,84,244,51,39,0.519
2320,"Calamar, asado",,1.000000,0,338.46,1.3,16.58,81.2,0.5,TR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.43,0.31,NA,222,63,TR,2.16,TR,3.24,0.11,0.06,1.14,0.05,TR,17.64,1.57,83.25,32.3,247.6,209.95,TR,44.8,1.53
2321,Camarón,Palaemon serratus,0.400000,0,346.9,0.6,17.6,80.3,1.5,0,0.185,0.161,NA,NA,NA,NA,NA,0.002,0.004,0.001,0.2,0.1,0.1,NA,195,TR,TR,2.85,12,3.2,0.1,0.04,7,0.05,0,79,1.6,330,34,190,180,90,24.3,1.5
2322,Longaniza,,1.000000,0,1442.5,27.5,25,47.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.03,4.65,11.25,NA,88.5,TR,TR,0.29,0.9,0.25,0.15,0.2,0.9,0.14,0,20,1.6,200,200,70,160,10.9,21.1,1.2
2323,Calamares en aceite vegetal,,0.010000,0,903.3,13.8,22.5,63.1,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,3.3,2.3,NA,66.9,125,2.9,1.5,1,17.1,0.15,0.12,9.8,0.06,0.09,17.2,1.01,278,28.9,382,272,5.57,39,0.51
2324,Cangrejo,Carcinus maenas,0.440000,0,124,5.1,19.5,75.4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,2.18,0.69,NA,100,TR,TR,2.3,20,6.3,0.15,0.1,TR,0.3,0,30,1.3,270,48,370,160,40,37.4,3.8
2325,Cangrejo de río crudo,Austropotamobius pallipes,0.230000,0,520.2,5.1,19.5,75.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,2.42,0.77,NA,100,TR,TR,2.3,20,6.3,0.15,0.1,TR,0.35,TR,30,1.3,270,48,370,176,40,3,3.8
2326,Caracol,Helix pomatia,1.000000,0,359.5,1.4,16.1,79.2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.259,0.252,0.361,NA,50,30,TR,5,6,1.4,0.12,0.01,0.5,0.13,TR,10,3.5,382,250,70,272,NA,27.4,1
2327,"Cardo, tallo, en conserva",Cynara cardunculus,1.000000,0,57.79,0.11,0.76,95,2.4,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.044,0.012,NA,0,6,0,0.9,22,0.3,0.031,0.018,0,0.042,1.7,72,0.73,392,43,176,23,0.4,0.7,0.18
2328,"Centollo, crudo",Maja squinado,1.000000,0,534.1,5.2,20.1,74.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,2.47,0.79,NA,100,TR,TR,2.3,20,6.1,0.15,0.1,TR,0.35,TR,29,1.3,270,48,370,312,40,37.4,5.5
