f_id,f_ori_name,sci_name,edible_portion,alcohol (etanol),"energía, total","grasa, total (lipidos totales)","proteina, total",agua (humedad),carbohidratos,"fibra, dietetica total",ácido graso 22:6 n-3 (ácido docosahexaenóico),ácido graso 20:5 (ácido eicosapentaenóico),ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,"ácidos grasos, trans totales",colesterol,Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc)
680,"Bacón, ahumado, a la parrilla",,1.000000,0,1215.5,22.1,23.4,50.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,2.9,8.3,NA,80,0,0.6,0.07,2,7,0.16,0.9,1,0.46,TR,7,0.7,330,21,1760,190,7,12,2.2
681,"Café, con leche",,1.000000,0,158.069,2.36538,1.7,94,2.45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6235,0.0656,1.2032,NA,8,15.8333,0.01,0.04,1.66,0.7,0.08,0.02,0.1,0.01,0.5,55,0.05,90,8,23,42,17.4,2.8,0.18
682,"Bacon, crudo, con grasa separable",,1.000000,0,2276.93,57.5,8.7,33.7,0.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.33,6.75,21.26,NA,100,0.01,0.01,0.23,2,1.8,0.11,0.36,0.8,0.3,0,13,1.2,160,12,680,108,1.2,25,1.8
683,"Batido lácteo de cacao, bajo en calorías",,1.000000,0,201.2,1.9,3.1,90.4,4.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.3,NA,0,70.3,0.3,0.7,21.1,1.3,0.18,0.1,0.36,0.15,4.2,110,1.1,180.7,24.6,88.3,95,10.6,3.7,0.9
685,"Batido lácteo, de fresa, bajo en calorías",,1.000000,0,466.48,0.34,3.8,72.9,22.9,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.3,NA,3.4,70.3,0.3,0.7,21.1,1.3,0.13,0.1,0.2,0.15,4.2,111.6,1.1,180.7,24.6,88.3,52.8,10.6,3.7,0.9
686,"Cabrito, parte s/e, crudo, con grasa separable",,0.700000,0,476.1,4,19.3,76.7,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,0.3,1.5,NA,56,0,0.4,0.09,5,6,0.1,0.32,2,0.3,0,9,0.9,385,22,82,220,5,1,2
687,Callos de ternera,,1.000000,0,396.2,3.95,14.56,80,0,0,0.001,0.006,0.007,0.121,0.861,0.839,0.919,0.06,0.018,0.023,1.31,0.07,2.03,0.1872,95,0,TR,0.08,2,0.06,0.17,0.01,1.54,0.04,TR,9,1.95,270,8,46,79,UD,45.6,2.47
688,"Cerdo, lomo, asado",,1.000000,0,987.016,14.2707,27,56.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,1.6,5.5,NA,75,TR,TR,0.1,4,4.2,0.3,0.52,0.8,0.36,TR,12,1.1,290,20,60,170,3,20,2.4
689,"Cerdo, pierna, cruda, con grasa separable",,0.750000,0,885.4,15.2,19,65.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,2.5,5.1,NA,63,0.1,0.01,0,5,8.7,0.2,0.89,1,0.45,0,8,1.5,370,22,80,230,5,12,2.5
691,Queso afuega'l pitu,,1.000000,0,1955.98,40.56,26.78,27.8,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,239.08,0.25,0.6,16,3.05,0.3,0.04,1.55,0.09,0,1311.66,1.5,1410.24,122.75,5882.5,3001.93,NA,NA,4.91
692,Queso ahumado de aliva,,1.000000,0,1699.2,34.13,25.67,35.04,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,239.08,0.25,0.6,16,3.05,0.3,0.04,1.55,0.09,0,7820.18,3.27,1219.04,329.34,3002.43,5101.87,NA,NA,30.52
693,Queso cantabria,,1.000000,0,1483.04,30.19,21.53,42.84,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,239.08,0.25,0.6,16,3.05,0.3,0.04,1.55,0.09,0,7803.58,3.42,978.05,289.23,5551.33,4929.73,NA,NA,30.59
694,Queso casín,,1.000000,0,1531.99,30.81,23.06,40.35,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,239.08,0.25,0.6,16,3.05,0.3,0.04,1.55,0.09,0,6915.54,9.86,1759.12,290.83,7589.61,4995.91,NA,NA,33.93
695,"Queso de murcia, al vino",,1.000000,0,1832.45,38.88,23.17,32.63,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,437,0.5,0.31,53,3.6,1.19,0.14,0.2,0.08,0,8139.35,3.47,1063.69,385.5,5373.88,5277.04,NA,NA,26.53
696,Queso de cádiz,,1.000000,0,1282.37,26.88,16.93,52.8,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,437,0.5,0.31,53,3.6,1.19,0.14,0.2,0.08,0,6234.56,2.44,984.17,292.84,3644.62,3964.95,NA,NA,25.01
697,Queso Tetilla,,1.000000,0,1558.57,32.19,21.62,41.46,TR,0,NA,0.009,0.849,2.998,7.971,3.434,5.677,0.439,0.16,0.02,10.06,1.07,21.45,1.77,90,388.333,0.25,0.62,20,0.1,0.3,0.03,1.5,0.1,TR,8090.14,2.82,1020.3,314.68,5399.95,5127.16,2,1.6,32.98
698,Queso gaztazarra,,1.000000,0,1367.98,28.5,18.44,46.44,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,374,0.25,0.62,20.65,5.1,0.3,0.04,1.5,0.1,0,6085.13,2.94,1505.39,312.09,6479.92,4366.45,NA,NA,21.82
699,Queso herreño,,1.000000,0,1528.61,30.25,24.08,39.23,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,437,0.5,0.31,53,3.6,1.19,0.14,0.2,0.08,0,6508.51,3.43,1146.69,352.61,8926.86,4696.87,NA,NA,24.91
700,Queso cebreiro,,1.000000,0,1075.87,22.25,14.86,59.36,TR,0,NA,0.009,0.849,2.998,7.971,3.434,5.677,0.439,0.16,0.02,NA,NA,NA,1.77,85,239.08,0.25,0.6,15,4.7,0.2,0.03,0.8,0.08,1,971.3,1.05,1134.68,102.29,4222.83,2026.32,2,1.6,4.73
701,Queso pedroches,,1.000000,0,1411.08,27,24.24,42.28,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,374,0.25,0.62,20.65,5.1,0.3,0.04,1.5,0.1,0,9339.39,14.48,1295.9,554.78,5962.56,6128.75,NA,NA,26.28
702,Queso tupí,,1.000000,0,2539.37,59.81,19.2,19.16,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,374,0.25,0.62,20.65,5.1,0.3,0.04,1.5,0.1,0,6716.06,1.95,1173.17,267.96,4210.3,4213.64,NA,NA,26.78
703,Queso flor de guía,,1.000000,0,1611.79,31.06,27.21,35.35,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,388,0.25,0.6,20,0.1,0.3,0.03,1.5,0.1,TR,8019.42,3.35,1182.36,448.88,6132.48,6009.33,NA,NA,38.39
704,Queso gata-hurdes,,1.000000,0,1604.03,33.63,21.16,41.55,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,437,0.5,0.31,53,3.6,1.19,0.14,0.2,0.08,0,4547.53,3.07,1052.84,251.26,6389.6,3183.42,NA,NA,18.09
705,Queso de aracena,,1.000000,0,1625.18,33.88,21.86,40.32,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,437,0.5,0.31,53,3.6,1.19,0.14,0.2,0.08,0,5985.51,3.86,1033.98,310.09,6454.38,4270.65,NA,NA,23.97
706,Queso de tenerife,,1.000000,0,1426.63,29.69,19.3,47.26,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,437,0.5,0.31,53,3.6,1.19,0.14,0.2,0.08,0,6533.42,2.39,1001.47,434.44,3245.91,4543.65,NA,NA,22.57
707,Queso de tiétar,,1.000000,0,1660.16,35,21.48,38.01,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,437,0.5,0.31,53,3.6,1.19,0.14,0.2,0.08,0,8426.2,3.27,1215.06,427.22,5248.43,5214.58,NA,NA,27.28
708,Queso pasiego,,1.000000,0,1232.09,26.44,14.93,56.74,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,239.08,0.25,0.6,16,3.05,0.3,0.04,1.55,0.09,0,4856.48,2.41,1283.29,192.95,4974.07,3058.45,NA,NA,22
709,Queso peñamellera,,1.000000,0,1519.48,30.38,23.26,40.76,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,0.25,0.6,20,0.1,0.3,0.03,1.5,0.1,TR,8708.46,2.91,1223.12,316.9,8309.04,5362.51,NA,NA,32.31
710,Queso servilleta,,1.000000,0,1350.36,26.31,22.17,46.05,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,374,0.25,0.62,20.65,5.1,0.3,0.04,1.5,0.1,0,7620.94,4.04,1122.85,330.14,6361.63,4653.51,NA,NA,30.2
711,Queso grazalema,,1.000000,0,1567.6,32.31,21.89,40.19,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,374,0.25,0.62,20.65,5.1,0.3,0.04,1.5,0.1,0,7853.39,3.11,989.84,522.75,4523.67,5012.86,NA,NA,23.32
712,Queso porrúa,,1.000000,0,1588.43,32,23.79,39.41,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,388,0.25,0.6,20,0.1,0.3,0.03,1.5,0.1,TR,8476.01,3.29,1462.18,331.14,4383.53,5783.76,NA,NA,33.97
713,Queso picón,,1.000000,0,1607.07,33,22.71,39.31,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,388,0.25,0.6,20,0.1,0.3,0.03,1.5,0.1,TR,4728.49,5.94,1336.4,218.46,13511,4853.88,NA,NA,34.11
714,Queso serrat,,1.000000,0,1711.52,35.63,23.13,35.74,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,374,0.25,0.62,20.65,5.1,0.3,0.04,1.5,0.1,0,8293.37,1.71,1205.97,306.47,3982.94,5349.12,NA,NA,32.73
715,Queso Castellano,,0.700000,0,1913.43,39.75,26.04,27.68,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.59,1.08,26.45,NA,100,436.667,0.25,0.6,20,0.1,0.3,0.03,1.5,0.1,TR,8384.69,5.95,1055.34,455.7,7932.78,5856.26,NA,NA,27.03
716,Queso de arzúa,,1.000000,0,1654.07,34.5,22.21,39.43,2,0,NA,0.009,0.849,2.998,7.971,3.434,5.677,0.439,0.16,0.02,8.46,1.01,17.98,1.77,90,340,0.25,0.6,20,0.1,0.3,0.03,1.5,0.1,TR,7638.45,2.68,924.6,274.44,4202.22,4776.55,2,1.6,33.47
717,Queso Ibores,,0.750000,0,1676.62,34.31,23.95,35.48,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.72,0.92,25.31,NA,90,388.333,0.25,0.62,20,0.1,0.3,0.03,1.5,0.1,TR,8974.11,9.46,1103.47,463.72,7515.3,5808.35,NA,NA,34.9
718,Queso Mahón,,0.190000,0,1692.77,34.31,24.9,35.29,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,1.5,20.02,NA,90,388.333,0.25,0.62,20,0.1,0.3,0.03,1.5,0.1,TR,7147.74,4.16,1254.51,304.53,8760.1,5034.58,NA,NA,30.89
719,Queso Zamorano,,0.360000,0,2016.29,42.19,26.78,24.8,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.54,25.85,NA,90,388.333,0.25,0.62,20,0.1,0.3,0.03,1.5,0.1,TR,9995.22,10.64,1158.28,492.27,8683.98,6403.55,NA,NA,33.88
720,Queso torta del casar,,0.650000,0,1508.31,32.38,18.25,46.64,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.53,1.5,21.8,NA,90,340,0.25,0.62,50,0.1,0.3,0.03,1.5,0.1,TR,5255.92,5.28,1122.19,331.35,5381.88,3885.58,2,1.6,19.71
721,Queso San Simón,,0.480000,0,1846.11,37.88,26.15,30.13,TR,0,NA,0.009,0.849,2.998,7.971,3.434,5.677,0.439,0.16,0.02,9.63,1.22,20.58,1.77,90,340,0.25,0.62,20,0.1,0.3,0.03,1.5,0.1,TR,9546.93,2.98,1232.9,355.82,5520.04,5942.52,2,1.6,33.44
722,Queso majorero,,0.600000,0,1499.97,28.75,25.66,38.4,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24,0.82,16.94,NA,80,290.833,0.25,0.62,50,0.1,0.3,0.03,1.5,0.1,TR,7795.27,3.54,1141.98,441.66,8001.86,5745.52,NA,NA,30.45
723,Queso Raclette,,0.600000,0,1484.51,28.3598,25.6,42.9,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,1.5,17.4,NA,90,216.667,0.2,0.5,51,0.1,0.2,0.02,1.5,0.07,0,550,0.2,112,14,760,450,NA,NA,2.3
730,"Berenjena, frita, en aceite de girasol",,1.000000,0,1246.84,31.9038,1.2,59.5,2.70609,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,19.6,3.7,NA,0,20.8333,0,5.5,5,TR,TR,0,0,0.07,1,8,0.5,170,8,2,25,4.4,0.3,0.1
731,"Boniato, crudo",,0.790000,0,422.5,0.3,1.2,71.5,23,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TR,0.13,TR,NA,0,666.667,0,4,52,0.8,0.06,0.1,0,0.13,25,22,0.7,300,13,19,44,0,1,0.3
732,"Berro, crudo",,0.670000,0,49.9,0.2,2.2,93.5,0.3,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TR,0.08,TR,NA,0,483.33,0,1.2,127.9,0.8,0.12,0.1,0,0.13,60,157,1.3,304,20,60,53,0,0.9,0.2
733,"Achicoria, cruda",,1.000000,0,78.3,0.6,0.5,95.2,2.8,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TR,0.3,0.2,NA,0,266.7,0,0.1,14,0.3,0.09,0.14,0,0.01,5,21,0.4,170,6,1,27,0.4,1,0.2
735,"Anguila, al horno","Anguilla anguilla, l.",0.750000,0,929.121,14.2222,23.7,59.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,2.1,3.6,NA,160,980,5,5.6,3,4.5,0.3,0.18,1,0.08,0,25,0.6,340,20,65,270,25,8.3,3
736,"Anguila, cruda","Anguilla anguilla, l.",0.770000,0,913.915,15.525,19.97,61.9667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.03096,2.5898,3.99683,NA,150,1200,4.9,4.14,2.9,1.4,0.35,0.2,1,0.25,TR,19,1.2,270,19,89,310,25,6.5,2.5
737,"Anguila, hervida",,0.800000,0,821.279,12.7778,20.5,62,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,1.8,3.3,NA,140,1000,5,4.14,4,2.5,0.34,0.13,1,0.25,0,20,0.8,200,20,80,230,25,8.3,2.5
739,"Apio, en conserva en salmuera",,1.000000,0,35.7,TR,0.8,94.5,1.3,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TR,TR,TR,NA,0,9.33333,0,0.19,22,0.3,0.04,0.04,0,0.07,6,36,0.4,283,10,343,25,1.1,0.046,0.1
740,"Arenque, ahumado",,0.610000,0,1057,13.9,23,59,0,0,1.806,1.2,0.031,1.061,1.725,0.316,1.743,0.356,1.047,0.088,4.32,5.67,3.48,NA,50,13,23.5,1,10,2.5,0.4,0.08,5,0.45,0,60,1.8,520,50,550,428,0.1,52.6,0.5
741,"Arenque, salado",,0.590000,0,1251,26,17,57,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,11.6,6.4,NA,13,50,40,1.71,8,4,0.22,0.03,3,1.3,2.7,20,1,75,36,2610,220,18,22,0.5
742,"Atún, al horno",,0.540000,0,791.689,7.88889,29.4,61,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.8,2.3,NA,48,34,5.8,1,16,10.5,0.15,0.2,8,0.53,TR,35,1.2,310,20,47,200,30,36,0.9
745,"Bacalao, ahumado",,0.990000,0,331.45,0.55,18.3,81.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.1,NA,56,2,4,0.44,5,2,0.05,0.04,1,0.17,3.5,9,0.1,390,25,1170,190,11,147.8,0.4
746,Aceite de algodón,,1.000000,0,3700,100,0,0,0,0,NA,NA,NA,1,25,3.3,18,49.5,0.35,NA,17.8,51.9,25.9,NA,0,0,0,38.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
747,Aceite de cacahuete,,1.000000,0,3696.3,99.9,0,0.1,0,0,NA,NA,NA,0.04,11.82,3.38,39.97,37.75,0.1,NA,47.8,28.5,18.8,NA,0,TR,0,17.2,TR,TR,TR,TR,0,TR,0,0,TR,0,0,0,0,0,TR,0
748,Aceite de coco,,1.000000,0,3700,100,0,0,0,0,NA,NA,47.64,18.29,8.49,3.2,4.96,0.7,0,NA,4.96,0.77,84.31,NA,0,0,0,0.28,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0
749,Aceite de germen de trigo,,1.000000,0,3696.3,99.9,0,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,61.7,18.8,NA,0,0,0,215.4,TR,TR,TR,TR,0,TR,0,0,0,TR,TR,TR,TR,0,TR,TR
750,Aceite de nuez,,1.000000,0,3692.26,99.7908,TR,TR,0,0,NA,NA,NA,0,7.19,2.63,15.71,61.84,NA,NA,17.1,69,9.3,NA,TR,TR,0,10.8,TR,TR,TR,TR,0,TR,0,TR,TR,TR,TR,TR,TR,0,0,0
751,Aceite de palma,,1.000000,0,3700,100,0,0,0,0,NA,NA,0.16,1.43,43.04,4.38,38.41,10.02,1.95,NA,41.15,10.35,49.44,NA,0,0,0,21.76,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
752,Aceite de sésamo,,1.000000,0,3700,100,0,0,0,0,NA,NA,NA,0,9.42,6.05,41.15,42.13,0.44,NA,39.7,41.7,14.2,NA,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
753,Aceite de colza,,1.000000,0,3700,100,0,0,0,0,NA,NA,NA,0.04,4.01,1.62,60.62,19.24,10,NA,65.3,28.01,6.29,NA,0,0,0,20.95,TR,0,0,TR,0,TR,0,0,0,0,0,0,0,NA,0,0
754,Aceite de grano de uva,,1.000000,0,3696.3,99.9,0,0.1,0,0,NA,NA,NA,0.04,6.58,3.84,19.11,69.65,0.23,NA,15.6,67.7,12.2,NA,TR,TR,0,32,TR,0,0,TR,0,TR,0,TR,TR,TR,TR,TR,TR,0,NA,0
755,Aceite de hígado de bacalao,,1.000000,0,3696.3,99.9,0,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6,30.5,21.1,NA,650,20000,210,20,TR,0,0,TR,0,TR,0,TR,TR,TR,TR,TR,TR,TR,TR,TR
756,Mantequilla salada,,1.000000,0,3054.4,82,0.7,16.9,0.5,0,0.008,0.03,2.59,8.74,24.04,7.09,15.35,1.29,0.36,0.02,21.64,3.28,55.13,NA,178,783,0.76,2,0,0,0.02,TR,0,0.01,0,15,0.2,15,2,870,24,4,0.5,0.1
757,"Huevo de codorniz, entero, crudo",,0.900000,0,640.2,11.1,13.1,75.4,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,1.3,3.6,NA,844,156,1.4,0.74,66,0.15,0.79,0.13,1.58,0.15,0,64,3.65,132,13,141,226,44,32,1.47
758,"Huevo de gallina, escalfado",,1.000000,0,611.589,10.6024,12.6,75.6,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,1.3,3.2,NA,380,206.667,1.7,1.2,60,0.07,0.31,0.07,1.1,0.12,0,55,1.8,130,11,210,190,44,24.9,1.3
759,"Huevo de gallina, frito",,1.000000,0,772.297,14.5783,13.4,70.3,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,2,4.3,NA,400,226.667,1.9,1.2,42,0.08,0.41,0.07,1.2,0.14,0,58,1.9,136,12,277,204,63.4,25.5,1.3
760,"Huevo de gallina, pasado por agua",,1.000000,0,600.976,10.3615,12.5,76.7,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,1.3,3.1,NA,380,206.667,1.7,1.2,88,0.07,0.46,0.08,1.6,0.12,0,55,1.8,125,11,133,188,44,24.9,1.3
761,"Huevo de gallina, revuelto, con mantequilla",,1.000000,0,953.747,20.7229,10.2,68.4,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,1.2,9.9,NA,330,283.333,1.7,1.1,30,0.08,0.44,0.07,1.7,0.12,0,61,2,138,13,224,197,51.1,16.2,1.3
762,"Huevo de gallina, yema, desecada",,1.000000,0,2768.7,59.3,31.7,3,2.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,7.4,18,NA,2430,1060,11.4,3.9,210,8.77,0.66,0.5,7.08,0.84,0,282,13.8,168,28,135,1112,84.3,86.6,6.15
763,"Huevo de pavo, entero, crudo",,0.890000,0,682.5,11.9,13.7,72.5,1.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,1.7,3.6,NA,933,166,NA,NA,71,4.05,0.47,0.11,1.69,0.13,0,99,4.1,142,13,151,170,NA,34.3,1.58
764,"Huevo de pato, crudo",,1.000000,0,679.7,11.8,14.3,73.9,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,2,2.9,NA,680,540,5,0.74,80,0.2,0.47,0.16,5.4,0.25,0,63,2.9,190,16,120,200,13,36.4,1.4
766,"Barra chocolate, tipo ""bounty""",,1.000000,0,2048.4,26.6,4.6,10.8,58,3.5,0,0,NA,NA,NA,NA,NA,0.9,0.07,NA,8.7,1,16.5,0.1,3,60,0.01,0.08,7,0.3,0.11,0.05,0.01,0.05,1.2,100,1.5,316,44.4,164,140,21.1,5,1.7
767,Barrita cereales maíz y trigo,,1.000000,0,1797.5,13.8,7.4,9.4,68.3,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TR,TR,10.1,NA,0,0,0,2.94,15,9.091,0.773,0.682,0,0.909,0,31,2.56,143,46,500,136,3.7,24.9,1.78
768,Barrita cereales trigo y chocolate,,1.000000,0,1820.9,14.8,8.3,8.9,66.6,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TR,TR,10.6,NA,0,13.5,0,0.9,17,2.8,0.09,0.09,0,0.08,0,65.3,2.2,210,51.6,224.6,172.9,14.6,6.3,1.6
769,"Barra de chocolate, tipo ""Mars""",,1.000000,0,1899.38,18.4833,5.6,7.3,65.9,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.67,10,NA,20,6.66667,0.1,1.5,9,0.3,0.2,0.05,0.26,0.08,TR,145,1.3,240,40,158,150,21.1,1.6,1.1
770,"Barra de chocolate, tipo ""Kit-kat""",,1.000000,0,2087.15,24.477,6.5,3.5,63,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,0.6,11.6,NA,17,34.1667,0.08,1,9,0.4,0.26,0.07,0.54,0.06,1,106,1.2,200,52,125,153,21.1,5,1.1
771,Mermelada de albaricoque,,1.000000,0,62.9,TR,0.3,95.3,3.4,1,0,0,NA,NA,NA,NA,TR,0,0,0,TR,TR,TR,NA,0,10,0,0,33,0.04,0.02,0,0,0.02,8.8,20,0.49,77,4,40,11,2.3,0.04,0.06
772,Mermelada de ciruela,,1.000000,0,62.9,0,0.3,95.3,3.4,1,0,0,NA,NA,NA,NA,TR,0,0,0,0,0,0,NA,0,21,0,0.1,11,1.8,0.02,0.01,0,0.02,20,39,1,344,30,10,28,2.3,2,0.06
773,Mermelada de grosella roja,,1.000000,0,1006.4,TR,0.5,40.8,58.7,1.1,0,0,NA,NA,NA,NA,TR,0,0,0,TR,TR,TR,NA,0,0,0,0.1,11,0.036,0.076,0.016,0,0.02,20.6,20,0.49,77,4,32,19,2.3,2,0.06
774,Mermelada de mora,,1.000000,0,1006.4,TR,0.5,40.8,58.7,1.1,0,0,NA,NA,NA,NA,TR,0,0,0,TR,TR,TR,NA,0,0,0,0.1,11,0.036,0.076,0.016,0,0.02,8.8,20,0.49,77,4,32,14,2.3,2,0.06
775,Mermelada de naranja,,1.000000,0,78.2,TR,0.3,95.2,4.3,0.2,0,0,NA,NA,NA,NA,TR,0,0,0,TR,TR,TR,NA,0,2,0,0,36,0.05,0.01,0.01,0,0.01,4.8,38,0.15,37,2,56,6,2.3,0.2,0.04
776,Chocolate con leche y almendras,,1.000000,0,2287.8,35,8.6,2.7,49.8,3.9,0,0,0.263,0.806,7.562,7.48,11.575,2.937,0.082,0,8.9,0.8,16.6,0.1984,12,48.7,0.1,0.5,11.4,0.8,0.4,0.09,0.25,0.05,0.2,209,1.4,441,80,106,246,12,1.2,0.0008
777,Chocolate con leche y arroz,,1.000000,0,2152.9,26.3,6.4,2.7,63,1.6,0,0,0.241,0.74,6.64,6.808,8.231,0.66,0.044,0,8.8,0.8,16.4,0.1984,11.9,48.4,0.1,0.5,18,0.7,0.27,0.07,0.25,0.05,0.2,169,0.9,322,44,105,190,12,1.2,0.001
778,Chocolate con nueces de macadamia,,1.000000,0,2458,41.3,7.1,2.2,47.6,1.8,0,0,0.224,0.447,9.4,11.2,11.3,1.23,0.112,0,18.8,1.2,20.6,0,15.6,61.3,0.1,0.6,7.1,0.6,0.29,0.1,0.27,0.07,0.2,193,1.1,386,61,113,205,13,1,0.0012
779,"Tortilla, a la francesa",,1.000000,0,709.7,12.2892,14.6,71.7,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.5,3.7,NA,350,231.667,1.6,1,30,0.07,0.35,0.06,1.3,0.1,0,63,2,146,13,245,220,60.5,NA,1.3
780,"Azúcar, moreno",,1.000000,0,1659.2,0,0,1.1,97.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,TR,TR,TR,0,0.02,0,85,1.9,320,22,40,24,0,1.2,0.1
